repo,orig_master,forced_master
antexec-plugin,a26ab90,3f8b343
artifactory-plugin,7b6d785,7b6d785
associated-files-plugin,fc7bbc9,e2ada55
audit2db-plugin,faf3385,6b2446b
audit-trail-plugin,105373b,e6b3357
backend-pull-request-greeter,a1f7b15,c5087d6
beaker-builder-plugin,2faad6c,2867a2a
branch-api-plugin,c066281,c066281
build-flow-plugin,4461ead,305af7f
buildgraph-view,4a6eb7f,467286f
build-pipeline-plugin,220610b,64db20c
build-timeout-plugin,437818e,437818e
buildtriggerbadge-plugin,0ecad1e,4f33890
bytecode-compatibility-transformer,9884d93,a62e389
ci-game-plugin,c662016,c662016
clearcase-plugin,4c8e9aa,4c8e9aa
clearcase-ucm-plugin,6be8eec,6be8eec
cloudbees-folder-plugin,f36d4d6,2af4a8b
cloudbees-plugin-gateway,07c9076,f8b6301
cloudtest-plugin,4168346,5627e28
clover-plugin,a9861ae,b590403
cobertura-plugin,bac4f17,d04c87d
collabnet-plugin,18a6109,18a6109
collapsing-console-sections-plugin,53a55ff,53a55ff
compact-columns-plugin,7c68839,a303a24
compress-artifacts-plugin,24d43d2,24d43d2
conditional-buildstep-plugin,ea9246c,4e34efc
config-file-provider-plugin,7ecd9f9,b926025
configurationslicing-plugin,ded8666,eefdd37
copyartifact-plugin,dc98ffe,46540cc
copy-project-link-plugin,6cfffe4,6cfffe4
copy-to-slave-plugin,6ebdccd,6ebdccd
cppcheck-plugin,d018417,5b6922c
credentials-plugin,4a1900a,4a1900a
crowd2-plugin,62ae57b,62ae57b
crowd-plugin,0c4cc5e,0c4cc5e
customtools-plugin,99eaa76,4128bbe
cvsclient,c16ac7b,3003bc9
cvs-plugin,eb2a491,78bb5fb
dashboard-view-plugin,dbcf1ac,48c29c6
datical-db-plugin,a007da0,d08d54e
dependency-check-plugin,5254918,eba7b2e
deploy-plugin,1e0a0fa,a9add4e
disable-failed-job-plugin,3dfe450,3dfe450
disk-usage-plugin,3321172,8f6300d
doclinks-plugin,3369f4c,88a9894
dry-plugin,2dbb3ca,733175d
dynamic-axis-plugin,2ff9d59,56a25ad
ec2-plugin,b14ebd2,b14ebd2
elastic-axis-plugin,19ce48a,2a9a0a3
email-ext-plugin,b7edb86,b7edb86
envinject-lib,4261bc7,c953dae
envinject-plugin,0287bec,afc2f6b
extended-choice-parameter-plugin,81259f9,85c5ef6
extra-columns-plugin,d2008ba,cbaaef9
extras-executable-war,56d8d2d,8800e72
extreme-feedback-plugin,44bc629,e9180ae
gearman-plugin,6599b29,8ab8c53
gerrit-trigger-plugin,33d5180,33d5180
gitbucket-plugin,343e467,343e467
git-chooser-alternative-plugin,81f41e0,81f41e0
git-client-plugin,50afccd,45728be
git-plugin,1e894cd,f6d42c4
global-build-stats-plugin,08cf5c6,dff58df
global-variable-string-parameter-plugin,2893812,088a5a4
gradle-jpi-plugin,f1e07c0,000f571
grails-plugin,8e1aafa,2de4edb
greenballs-plugin,75d6687,511ffb2
groovy-postbuild-plugin,9da3392,9da3392
heavy-job-plugin,eb7103c,7e8f6e8
hockeyapp-plugin,7473c4c,9a9fe5a
http-request-plugin,68b642c,ffcce7d
humbug-plugin,ad9501d,ad9501d
instant-messaging-plugin,e6fab55,f5be850
integrity-plugin,c4964dc,351ec6d
ironmq-notifier-plugin,5665a8c,cafb75a
ivytrigger-plugin,182c380,7af19df
jacoco-plugin,1dae727,1dae727
jclouds-plugin,2e0d61e,f579f18
jira-plugin,9c9e780,5baab3e
jobConfigHistory-plugin,da057b5,da057b5
job-dsl-plugin,db766af,bc79cd2
job-import-plugin,1edaa53,e52d913
job-poll-action-plugin,d6901cc,d6901cc
jquery-plugin,a5b19cf,d44eb38
jquery-ui-plugin,1feb6c1,a69e1a7
json-lib,b263edb,b263edb
kiuwan-plugin,7266860,7f8835f
label-verifier-plugin,ef0c1d5,79a91a2
ldap-plugin,33a07f8,e5bc0f9
leiningen-plugin,8e4878d,8e4878d
lib-annotation-indexer,ea9a35b,72d8ad1
lib-task-reactor,8c952b7,119000d
lib-windows-remote-command,447f4c5,eea9005
literate-cli,5af6047,0a4f45c
logfilesizechecker-plugin,5dcbf77,5dcbf77
m2release-plugin,531f00d,975899b
m2-repo-reaper-plugin,a543b26,bedc353
mailer-plugin,4f6be2d,4f6be2d
matrix-auth-plugin,bf7b406,d0ce731
maven-hpi-plugin,b06aa67,b06aa67
maven-info-plugin,81864fa,81864fa
mercurial-plugin,ebb6ee3,60cbf5b
mesos-plugin,78047b5,833dafb
metadata-plugin,2842fd9,856b69b
mock-security-realm-plugin,396be54,b6fa741
msbuild-plugin,d049016,b1b89b7
naginator-plugin,9cc5558,1659e85
nerrvana-plugin,9738430,9738430
nested-view-plugin,607f54c,cc853be
next-build-number-plugin,427244e,427244e
next-executions-plugin,3216065,3216065
parameterized-trigger-plugin,bb32d96,7827fd5
perforce-plugin,ae5b010,ae5b010
performance-plugin,d23e2b3,042bad6
persona-plugin,58ea0d9,3a3122d
pitmutation-plugin,fc6197f,fc6197f
plain-credentials-plugin,5a6c6ee,7b1b3e1
plugin-compat-tester,a5c9be3,db23f04
postbuildscript-plugin,fafb95f,636cddc
promoted-builds-plugin,770c7bb,770c7bb
prqa-plugin,a7df762,a7df762
publish-over-cifs-plugin,5740aec,b079339
puppet-jenkins,b0b5f5e,7070b69
radiatorview-plugin,ceb0d34,8b0b3a4
rapiddeploy-plugin,c02347c,20b6b10
release-plugin,b45ef23,6e0e47a
repo-plugin,42bc86d,31f9929
rich-text-publisher-plugin,71c57d1,e54a7c9
robot-plugin,8974d0c,614942a
run-condition-plugin,357f146,cc194ec
rvm-plugin,80bcae9,80bcae9
scm2job-plugin,22ce13e,22ce13e
scm-api-plugin,e10763d,e10763d
scoring-load-balancer-plugin,634609e,634609e
script-scm-plugin,42e29d3,cd96e7f
selenium-axis-plugin,bfa4377,1ccd9a8
selenium-builder-plugin,35a73ad,0387d9c
selenium-tests,b7a7de1,b7a7de1
skype-im-plugin,12dfa79,12dfa79
skytap-cloud-plugin,5671432,679b871
smartfrog-plugin,f6808ab,3783fbc
sms-plugin,97fb324,233faec
sounds-plugin,cd32e83,e19b5ea
ssh-agent-plugin,651d786,651d786
ssh-credentials-plugin,6f6837d,6f6837d
sshd-module,c18c8c1,96c25a4
ssh-slaves-plugin,be4fed6,be4fed6
starteam-plugin,7002128,61a4ecb
stashnotifier-plugin,59e9cb0,59e9cb0
subversion-plugin,b5cd303,b5cd303
suppress-stack-trace-plugin,b6c7df3,dea27c5
swarm-plugin,5335494,5335494
synergy_scm-plugin,581db69,39e8883
tap-plugin,e5c61ff,bb0f9d1
teamconcert-plugin,90bf254,dd788fc
testlink-plugin,344c91d,252bd40
tfs-plugin,f61f3fc,12b7198
thin-backup-plugin,0900a7b,7e364ee
throttle-concurrent-builds-plugin,1bc16cd,e62f6b1
tikal-multijob-plugin,9c94ebb,f9336d9
timestamper-plugin,ce1121b,4ec6bac
token-macro-plugin,bdad176,c086661
transifex-plugin,3f01925,3f01925
translation-plugin,8d8b7d9,3db2f34
trilead-ssh2,a1be0fa,531c18a
unity3d-plugin,f10a954,b98a066
veracode-scanner-plugin,a4628f1,c61e91f
view-job-filters-plugin,6f27fa9,3018aad
virtualbox-plugin,eaec184,a3a219b
vsphere-cloud-plugin,447894e,ae67fd4
vstestrunner-plugin,7e93f95,7e93f95
walldisplay-plugin,16f60e7,264b084
warnings-plugin,a82c621,a82c621
weblogic-deployer-plugin,69ceaa0,abb3f78
winstone,ddcbbd4,91a5f3b
wix-plugin,ed6ca57,2d8cfdf
ws-cleanup-plugin,62cf1a7,62cf1a7
xcode-plugin,b48316f,5684452
xstream,12bfeb1,f669b43
xtrigger-lib,bcca557,69a0129
xunit-plugin,534c6f3,1b60618
xvfb-plugin,db186f9,1666cff
xvnc-plugin,e891d20,15a2eb1
accurev-plugin,5b05d79,9fea3f1
analysis-core-plugin,ee0137d,04a5bf7
